homicide,year
21154,1979
22679,1980
22197,1981
20654,1982
19018,1983
18437,1984
18700,1985
20318,1986
19827,1987
20450,1988
21247,1989
23125,1990
24371,1991
23440,1992
24169,1993
22917,1994
21606,1995
19645,1996
18211,1997
16974,1998
15522,1999
15586,2000
16037,2001
16229,2002
16528,2003
16148,2004
16740,2005
17309,2006
17128,2007
16465,2008
15399,2009
14722,2010
14661,2011
14856,2012
14319,2013
14164,2014
15873,2015
17413,2016
17294,2017
16374,2018
16425,2019
